ID,Nombre2,PAIS,FUENTE,Fecha,HORA,MES_COLECTADO,ELEVACION,LATITUD,LONGITUD,TIPO,CLASE,COMENTARIOS,Conductivity,d18O,d2H,d-excess,H3,Precipitation,TempAir,TempWater,Vp
19f28532-061c-4d9b-8055-940e2b0df6ab,SANTAREM,BR,GNIP - Events,2/2/1990,0:00:00,2,46,-2.433333333,-54.71666667,Precipitation,Rain,,,-7.07,-44.34,-37.27,,,,,
19fc9bed-357b-4f96-8e01-b0dfff9063bc,PIRACICABA - Usina Ester,BR,GNIR - Time series,26/03/1996,0:00:00,3,514,-22.68361111,-47.24361111,Surface waters,Surface Water - flowing,4d-001-14                ,,-6.82,-42.49,-35.67,,,,,
1a2042b0-b35e-4758-93a7-7add90d3515a,BELEM,BR,GNIP - Monthly,15/06/1965,0:00:00,6,24,-1.43,-48.48,Precipitation,Rain,,,-2.4,-8.7,-6.3,31.5,223,25.1,,28.2
1a31d2b9-d56c-4bc0-87d6-1c186e9696d6,PIRACICABA,BR,GNIP - Events,2/6/1997,0:00:00,6,545,-22.71,-46.46583333,Precipitation,Rain,,,-4.5,-27.4,-22.9,,3,,,
1a332942-19e2-457f-9971-464f7d572519,CAYENNE,GF,GNIP - Monthly,15/07/2022,0:00:00,7,2,4.93,-52.32,Precipitation,Rain,composite sample Jun+Jul.,,-4.3,-21.4,-17.1,,,,,
1a36717f-401b-4392-8c36-1c46e1e21cb3,CAMPO GRANDE,BR,GNIP - Events,15/11/1990,0:00:00,11,572,-20.47,-54.67,Precipitation,Rain,,,-5.62,-26.6,-20.98,,,,,
1a4bb922-ba8d-48ad-ae95-2df082c72b7f,BERLIN-COL,CO,GNIP - Monthly,15/04/2006,0:00:00,4,3307,7.189444444,-72.87166667,Precipitation,Rain,,,-7.67,-47.37,-39.7,,,,,
1a4ed7ae-2d32-4180-a62c-7c66fc3f9d0e,CAMPINAS,BR,GNIP - Events,6/10/1998,0:00:00,10,661,-23,-47.13333333,Precipitation,Rain,,,-1.19,7.19,8.38,,8,,,
1a5d3467-564a-44a6-86d4-6d89bfcfec2b,MACAPA,BR,GNIP - Events,15/11/1989,0:00:00,11,17,0.05,-51.07,Precipitation,Rain,,,-3.21,-10.3,-7.09,,,,,
1a668839-6e9f-4173-a847-adb664e23298,LEBRIJA - Conquistador,CO,GNIR - Time series,18/07/2005,0:00:00,7,1073,6.991944444,-73.03888889,Surface waters,Surface Water - flowing,,82.3,-9.48,-63.5,-54.02,,,,21.5,
1a68e28d-5b9b-43cb-9944-ac0378c3f332,NUNOA,PE,GNIP - Monthly,15/01/2001,0:00:00,1,4135,-14.5,-70.63333056,Precipitation,Rain,,,-23.75,-180.3,-156.55,,134.9,,,
1a6b81a6-2220-4ef4-b94f-cd6661fea47e,CLARO - Rio Claro (Recreio),BR,GNIR - Time series,4/12/1996,0:00:00,12,512,-22.48591389,-47.59269167,Surface waters,Surface Water - flowing,4d-021-25                ,,-6.43,-39.87,-33.44,,,,,
1a6db8c9-4150-4641-869a-57301dde1985,CEARA MIRIM,BR,GNIP - Monthly,15/01/1969,0:00:00,1,8,-5.8,-35.2,Precipitation,Rain,,,-1.99,-14,-12.01,22.1,93,26.7,,27.7
1a745f58-307e-4774-b306-00cbfe26d4cb,BELLAVISTA (GALAPAGOS IS.),EC,GNIP - Monthly,15/07/2001,0:00:00,7,194,-0.694444444,-90.325,Precipitation,Rain,,,-1.54,-3.6,-2.06,0.73,79.4,20.5,,22.8
1a7552b8-aa5f-4f7d-8a97-641cd5aa6c37,IZOBAMBA,EC,GNIP - Monthly,15/06/1975,0:00:00,6,3058,-0.37,-78.55,Precipitation,Rain,,,-11.69,-85.5,-73.81,8.6,65,10.5,,10.2
1a81ad91-013a-4de0-9ec4-721010a15d2f,EL HATO,CO,GNIP - Monthly,15/10/1999,0:00:00,10,3150,4.501352778,-74.29085833,Precipitation,Rain,,,-12.14,-83.9,-71.76,,150.1,,,
1a8ba933-67b2-4e05-a08c-6b8d5e715362,BELEM,BR,GNIP - Events,15/08/1989,0:00:00,8,24,-1.43,-48.48,Precipitation,Rain,,,-0.89,13.7,14.59,,61,,,
1a9382f2-ecf2-4e72-ae6f-a218cccc1a25,FORTALEZA,BR,GNIP - Monthly,15/12/1983,0:00:00,12,27,-3.72,-38.55,Precipitation,Rain,,,-1.2,7,8.2,,66,,,
1a97b202-c42f-4285-8b26-b986a2e3aa68,PORTO VELHO,BR,GNIP - Monthly,15/02/1974,0:00:00,2,105,-8.77,-63.92,Precipitation,Rain,,,-13.15,-94.7,-81.55,10.8,418,22.9,,28.9
1a986889-7d6f-4c8c-8050-1d39ab1e3b92,RIO BRANCO,BR,GNIP - Monthly,15/05/1973,0:00:00,5,136,-9.98,-67.82,Precipitation,Rain,,,-6.8,-42,-35.2,,359.3,,,
1ab44687-9bc5-48ca-84ca-709bf8da0668,IZOBAMBA,EC,GNIP - Monthly,15/07/2008,0:00:00,7,3058,-0.37,-78.55,Precipitation,Rain,,,-9.64,-63.89,-54.25,9.56,28.5,11.3,,
1ae435bc-5568-4978-a0b1-17d281e08621,BOGOTA,CO,GNIP - Monthly,15/04/1976,0:00:00,4,2547,4.7,-74.13,Precipitation,Rain,,,-3.28,-15.4,-12.12,10.9,132,13,,12.9
1aecf194-1a1e-4801-9aae-64eec789cfcc,LEBRIJA - Majadas,CO,GNIR - Time series,2/2/2007,0:00:00,2,760,7.159166667,-73.10083333,Surface waters,Surface Water - flowing,,1260,-8.74,-61.76,-53.02,,,,20.8,
1afc6fe4-7222-4f94-81a7-0464335770c0,LEBRIJA - Conquistador,CO,GNIR - Time series,17/10/2005,0:00:00,10,1073,6.991944444,-73.03888889,Surface waters,Surface Water - flowing,,126,-9.54,-66,-56.46,,,,24.4,
1b094836-126d-497a-be42-400b21f9391e,BELO HORIZONTE-CDTN,BR,GNIP - Monthly,15/01/2017,0:00:00,1,857,-19.87086111,-43.96733333,Precipitation,Rain,,,-4.48,-21.2,-16.72,2.6,137,24.2,,30.3
1b0bf15b-027a-409e-a49d-dd1e309c6b85,MARACAY,VE,GNIP - Monthly,15/11/1968,0:00:00,11,442,10.25,-67.65,Precipitation,Rain,,,-3.83,-24.1,-20.27,24,55,24.5,,22.2
1b1b06a6-5c33-4986-b57b-21989688b653,RIO DE JANEIRO,BR,GNIP - Monthly,15/04/1976,0:00:00,4,26,-22.9,-43.17,Precipitation,Rain,,,-3.16,-12.7,-9.54,7.5,75,25.1,,23.4
